;PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked
451;452;1;1;female;36.0;0;2;71.0;S
455;456;0;1;male;50.0;1;0;106.425;C
461;462;1;1;male;17.0;0;2;110.8833;C
467;468;1;1;female;48.0;1;0;39.6;C
469;470;1;1;female;39.0;1;1;79.65;S
482;483;1;1;female;53.0;2;0;51.4792;S
483;484;1;1;male;36.0;0;0;26.3875;S
488;489;1;1;female;39.0;1;0;55.9;S
492;493;1;1;female;39.0;1;1;110.8833;C
494;495;0;1;male;36.0;0;0;40.125;C
496;497;1;1;female;18.0;0;2;79.65;S
498;499;1;1;male;60.0;1;1;79.2;C
502;503;1;1;female;52.0;1;0;78.2667;C
510;511;1;1;male;49.0;1;0;56.9292;C
520;521;1;1;female;40.0;0;0;153.4625;S
529;530;1;2;female;4.0;2;1;39.0;S
532;533;1;1;male;42.0;1;0;52.5542;S
536;537;0;1;male;61.0;0;0;32.3208;S
538;539;1;1;female;21.0;0;0;77.9583;S
541;542;1;1;male;80.0;0;0;30.0;S
543;544;1;1;male;32.0;0;0;30.5;C
552;553;1;1;female;24.0;0;0;69.3;C
556;557;1;1;male;48.0;1;0;76.7292;C
558;559;1;1;male;56.0;0;0;35.5;C
570;571;0;1;male;58.0;0;2;113.275;C
573;574;0;1;male;47.0;0;0;25.5875;S
582;583;0;1;male;31.0;1;0;52.0;S
590;591;1;1;male;36.0;0;1;512.3292;C
592;593;1;1;male;27.0;0;0;76.7292;C
600;601;1;1;female;15.0;0;1;211.3375;S
601;602;1;1;male;31.0;1;0;57.0;S
609;610;0;1;male;49.0;1;1;110.8833;C
610;611;0;3;male;42.0;0;0;7.65;S
611;612;1;1;female;18.0;1;0;227.525;C
612;613;1;1;male;35.0;0;0;26.2875;S
618;619;1;1;male;42.0;0;0;26.2875;S
621;622;1;1;female;24.0;0;0;49.5042;C
623;624;1;1;male;48.0;1;0;52.0;S
626;627;0;3;male;19.0;0;0;7.65;S
627;628;1;1;female;38.0;0;0;227.525;C
628;629;1;2;female;27.0;0;0;10.5;S
635;636;1;1;male;27.0;1;0;53.1;S
641;642;1;1;female;29.0;0;0;211.3375;S
648;649;1;1;male;35.0;0;0;512.3292;C
652;653;0;1;male;36.0;1;0;78.85;S
653;654;1;1;female;21.0;2;2;262.375;C
656;657;0;1;male;70.0;1;1;71.0;S
659;660;0;1;male;19.0;1;0;53.1;S
662;663;1;3;male;6.0;0;1;12.475;S
670;671;1;1;female;33.0;0;0;86.5;S
674;675;1;1;female;36.0;1;2;120.0;S
676;677;1;1;female;51.0;1;0;77.9583;S
683;684;0;2;female;57.0;0;0;10.5;S
690;691;1;1;female;43.0;0;1;211.3375;S
692;693;1;1;female;17.0;1;0;57.0;S
693;694;0;1;male;29.0;0;0;30.0;S
700;701;0;1;male;46.0;0;0;79.2;C
707;708;1;1;female;49.0;0;0;25.9292;S
713;714;1;1;male;11.0;1;2;120.0;S
717;718;0;1;male;39.0;0;0;0.0;S
720;721;1;1;female;33.0;1;0;53.1;S
731;732;1;1;female;52.0;1;1;93.5;S
734;735;1;3;female;27.0;0;1;12.475;S
746;747;1;1;female;39.0;1;1;83.1583;C
764;765;1;1;female;16.0;0;1;39.4;S
768;769;1;1;male;51.0;0;0;26.55;S
773;774;1;1;female;48.0;0;0;25.9292;S
778;779;0;1;male;31.0;0;0;50.4958;S
782;783;1;1;female;47.0;1;1;52.5542;S
783;784;0;1;male;33.0;0;0;5.0;S
790;791;1;1;female;56.0;0;1;83.1583;C
798;799;1;1;female;19.0;0;0;30.0;S
800;801;1;1;male;26.0;0;0;30.0;C
