;Unnamed: 0;PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked;FamilySize;IsAlone
81;395;396;1;1;0;25.0;1;0;91.0792;C;2;0
82;397;398;1;1;1;35.0;1;0;90.0;S;2;0
83;398;399;0;1;0;58.0;0;0;29.7;C;1;1
84;403;404;0;1;0;55.0;0;0;30.5;S;1;1
85;407;408;1;1;1;54.0;1;0;78.2667;C;2;0
86;409;410;0;1;1;25.0;1;2;151.55;S;4;0
87;415;416;1;1;1;16.0;0;0;86.5;S;1;1
88;416;417;0;1;0;18.0;1;0;108.9;C;2;0
89;423;424;1;1;0;36.0;0;0;26.2875;S;1;1
90;426;427;0;1;0;47.0;0;0;34.0208;S;1;1
91;427;428;1;2;1;34.0;0;0;10.5;S;1;1
92;431;432;1;1;1;30.0;0;0;93.5;S;1;1
93;434;435;1;1;1;44.0;0;1;57.9792;C;2;0
94;447;448;0;1;0;45.0;0;0;26.55;S;1;1
95;450;451;1;1;1;22.0;0;2;49.5;C;3;0
96;451;452;1;1;1;36.0;0;2;71.0;S;3;0
97;455;456;0;1;0;50.0;1;0;106.425;C;2;0
98;461;462;1;1;0;17.0;0;2;110.8833;C;3;0
99;467;468;1;1;1;48.0;1;0;39.6;C;2;0
100;469;470;1;1;1;39.0;1;1;79.65;S;3;0
101;482;483;1;1;1;53.0;2;0;51.4792;S;3;0
102;483;484;1;1;0;36.0;0;0;26.3875;S;1;1
103;488;489;1;1;1;39.0;1;0;55.9;S;2;0
104;492;493;1;1;1;39.0;1;1;110.8833;C;3;0
105;494;495;0;1;0;36.0;0;0;40.125;C;1;1
106;496;497;1;1;1;18.0;0;2;79.65;S;3;0
107;498;499;1;1;0;60.0;1;1;79.2;C;3;0
108;502;503;1;1;1;52.0;1;0;78.2667;C;2;0
109;510;511;1;1;0;49.0;1;0;56.9292;C;2;0
110;520;521;1;1;1;40.0;0;0;153.4625;S;1;1
111;529;530;1;2;1;4.0;2;1;39.0;S;4;0
112;532;533;1;1;0;42.0;1;0;52.5542;S;2;0
113;536;537;0;1;0;61.0;0;0;32.3208;S;1;1
114;538;539;1;1;1;21.0;0;0;77.9583;S;1;1
115;541;542;1;1;0;80.0;0;0;30.0;S;1;1
116;543;544;1;1;0;32.0;0;0;30.5;C;1;1
117;552;553;1;1;1;24.0;0;0;69.3;C;1;1
118;556;557;1;1;0;48.0;1;0;76.7292;C;2;0
119;558;559;1;1;0;56.0;0;0;35.5;C;1;1
120;570;571;0;1;0;58.0;0;2;113.275;C;3;0
121;573;574;0;1;0;47.0;0;0;25.5875;S;1;1
122;582;583;0;1;0;31.0;1;0;52.0;S;2;0
123;590;591;1;1;0;36.0;0;1;512.3292;C;2;0
124;592;593;1;1;0;27.0;0;0;76.7292;C;1;1
125;600;601;1;1;1;15.0;0;1;211.3375;S;2;0
126;601;602;1;1;0;31.0;1;0;57.0;S;2;0
127;609;610;0;1;0;49.0;1;1;110.8833;C;3;0
128;610;611;0;3;0;42.0;0;0;7.65;S;1;1
129;611;612;1;1;1;18.0;1;0;227.525;C;2;0
130;612;613;1;1;0;35.0;0;0;26.2875;S;1;1
131;618;619;1;1;0;42.0;0;0;26.2875;S;1;1
132;621;622;1;1;1;24.0;0;0;49.5042;C;1;1
133;623;624;1;1;0;48.0;1;0;52.0;S;2;0
134;626;627;0;3;0;19.0;0;0;7.65;S;1;1
135;627;628;1;1;1;38.0;0;0;227.525;C;1;1
136;628;629;1;2;1;27.0;0;0;10.5;S;1;1
137;635;636;1;1;0;27.0;1;0;53.1;S;2;0
138;641;642;1;1;1;29.0;0;0;211.3375;S;1;1
139;648;649;1;1;0;35.0;0;0;512.3292;C;1;1
140;652;653;0;1;0;36.0;1;0;78.85;S;2;0
141;653;654;1;1;1;21.0;2;2;262.375;C;5;0
142;656;657;0;1;0;70.0;1;1;71.0;S;3;0
143;659;660;0;1;0;19.0;1;0;53.1;S;2;0
144;662;663;1;3;0;6.0;0;1;12.475;S;2;0
145;670;671;1;1;1;33.0;0;0;86.5;S;1;1
146;674;675;1;1;1;36.0;1;2;120.0;S;4;0
147;676;677;1;1;1;51.0;1;0;77.9583;S;2;0
148;683;684;0;2;1;57.0;0;0;10.5;S;1;1
149;690;691;1;1;1;43.0;0;1;211.3375;S;2;0
150;692;693;1;1;1;17.0;1;0;57.0;S;2;0
151;693;694;0;1;0;29.0;0;0;30.0;S;1;1
152;700;701;0;1;0;46.0;0;0;79.2;C;1;1
153;707;708;1;1;1;49.0;0;0;25.9292;S;1;1
154;713;714;1;1;0;11.0;1;2;120.0;S;4;0
155;717;718;0;1;0;39.0;0;0;0.0;S;1;1
156;720;721;1;1;1;33.0;1;0;53.1;S;2;0
157;731;732;1;1;1;52.0;1;1;93.5;S;3;0
158;734;735;1;3;1;27.0;0;1;12.475;S;2;0
159;746;747;1;1;1;39.0;1;1;83.1583;C;3;0
160;764;765;1;1;1;16.0;0;1;39.4;S;2;0
161;768;769;1;1;0;51.0;0;0;26.55;S;1;1
162;773;774;1;1;1;48.0;0;0;25.9292;S;1;1
163;778;779;0;1;0;31.0;0;0;50.4958;S;1;1
164;782;783;1;1;1;47.0;1;1;52.5542;S;3;0
165;783;784;0;1;0;33.0;0;0;5.0;S;1;1
166;790;791;1;1;1;56.0;0;1;83.1583;C;2;0
167;798;799;1;1;1;19.0;0;0;30.0;S;1;1
168;800;801;1;1;0;26.0;0;0;30.0;C;1;1
